Heroes_Team,Villains_Team,Heroes_Scores,Villains_Scores,Heroes_Hill_Score,Villains_Hill_Score,Winning_Team
"ce, PES",,"2000, 3920",,,,
,,,,168.0,201.0,Villains
,,,,,,Heroes
"ES, SEES, Ge",,"3005, 2614, 3415",,,,Villains
,,,,,,Villains
SEES,,3265,,,,
,,,,,,Villains
,,,,,,Villains
,,,,,,Villains
